_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal
650c4cd639ed09d0c37d81dd,2023-09-21 14:01:58.316000,EY20,LHR,AUH,2023-09-21 13:50:00,2023-09-21 20:55:00
650ce78da0084d6267786ffc,2023-09-22 01:02:05.860000,LH425,BOS,MUC,2023-09-22 00:05:00,2023-09-22 07:15:00
650ca117c19ab1a2ade3a583,2023-09-21 20:01:27.246000,OZ201,LAX,ICN,2023-09-21 19:10:00,2023-09-22 08:35:00
650cd988d8f21ca9fdf7d198,2023-09-22 00:02:16.797000,EK216,LAX,DXB,2023-09-21 23:40:00,2023-09-22 15:30:00
650cf59a428c11d50b243a2f,2023-09-22 02:02:02.800000,KE185,ICN,TPE,2023-09-22 01:35:00,2023-09-22 04:10:00
650c932761ef37facca0c4bf,2023-09-21 19:01:59.384000,EK374,DXB,BKK,2023-09-21 18:30:00,2023-09-22 01:00:00
650ce78ea0084d6267786ffe,2023-09-22 01:02:06.783000,EK212,IAH,DXB,2023-09-22 00:55:00,2023-09-22 15:45:00
650c76f654b119fc1dc35764,2023-09-21 17:01:42.417000,EK30,LHR,DXB,2023-09-21 15:50:00,2023-09-21 22:45:00
650c4cd839ed09d0c37d81e2,2023-09-21 14:02:00.558000,EK98,FCO,DXB,2023-09-21 13:30:00,2023-09-21 19:10:00
650c932561ef37facca0c4bb,2023-09-21 19:01:57.247000,BA56,JNB,LHR,2023-09-21 17:20:00,2023-09-22 04:30:00
650cd984d8f21ca9fdf7d18e,2023-09-22 00:02:12.165000,EK302,DXB,PVG,2023-09-21 22:50:00,2023-09-22 07:30:00
650c3f778386173002aae8fa,2023-09-21 13:04:55.348000,BA107,LHR,DXB,2023-09-21 11:55:00,2023-09-21 19:05:00
650ccb5371d436878948ff35,2023-09-21 23:01:39.765000,EK6,LHR,DXB,2023-09-21 21:15:00,2023-09-22 04:05:00
650cbd4d22881c84b378710a,2023-09-21 22:01:49.265000,BA55,LHR,JNB,2023-09-21 18:05:00,2023-09-22 05:05:00
650c4cd939ed09d0c37d81e4,2023-09-21 14:02:01.521000,EK142,MAD,DXB,2023-09-21 13:25:00,2023-09-21 20:35:00
650ccb5271d436878948ff32,2023-09-21 23:01:38.356000,NH183,HNL,NRT,2023-09-21 22:00:00,2023-09-22 06:15:00
650ca117c19ab1a2ade3a585,2023-09-21 20:01:27.917000,BA54,JNB,LHR,2023-09-21 19:20:00,2023-09-22 06:30:00
650c3f5b8386173002aae8be,2023-09-21 13:04:27.941000,EK212,IAH,DXB,2023-09-21 00:55:00,2023-09-21 15:45:00
650caf0825acc1436c31b588,2023-09-21 21:00:56.136000,QF2,LHR,SIN,2023-09-21 19:55:00,2023-09-22 09:30:00
650c3f658386173002aae8d5,2023-09-21 13:04:37.999000,EK8,LHR,DXB,2023-09-21 08:05:00,2023-09-21 15:10:00
650c3f6a8386173002aae8df,2023-09-21 13:04:42.579000,QR1,DOH,LHR,2023-09-21 09:40:00,2023-09-21 17:00:00
650cf59b428c11d50b243a31,2023-09-22 02:02:03.750000,SQ892,SIN,HKG,2023-09-22 01:40:00,2023-09-22 05:55:00
