_id,loggingTime,flightNumber,originIata,destinationIata,departureDatetimeLocal,arrivalDatetimeLocal,Everything Merged,,depDOW
650c3e218934f729db7d77b9,59:13.6,EK216,LAX,DXB,20/9/2023 23:40,21/9/2023 15:30,EK216LAXDXB45189.986111111145190.6458333333,,
650c3f5a8386173002aae8bb,04:26.7,EK226,SFO,DXB,21/9/2023 00:05,21/9/2023 15:40,EK226SFODXB45190.003472222245190.6527777778,,
650c3f5b8386173002aae8bc,04:27.2,EK241,DXB,YYZ,20/9/2023 23:30,21/9/2023 13:30,EK241DXBYYZ45189.979166666745190.5625,,
650c3f5b8386173002aae8bd,04:27.7,QF11,SYD,LAX,21/9/2023 00:20,21/9/2023 14:05,QF11SYDLAX45190.013888888945190.5868055556,,
650c3f5b8386173002aae8be,04:27.9,EK212,IAH,DXB,21/9/2023 00:55,21/9/2023 15:45,EK212IAHDXB45190.038194444445190.65625,,
650c3f5c8386173002aae8bf,04:28.4,SQ308,SIN,LHR,21/9/2023 01:00,21/9/2023 14:40,SQ308SINLHR45190.041666666745190.6111111111,,
650c3f5c8386173002aae8c0,04:28.9,KE81,ICN,JFK,21/9/2023 01:00,21/9/2023 15:05,KE81ICNJFK45190.041666666745190.6284722222,,
650c3f5d8386173002aae8c1,04:29.4,EK202,JFK,DXB,21/9/2023 03:00,21/9/2023 15:45,EK202JFKDXB45190.12545190.65625,,
650c3f5d8386173002aae8c2,04:29.9,EK380,DXB,HKG,21/9/2023 06:05,21/9/2023 14:00,EK380DXBHKG45190.253472222245190.5833333333,,
650c3f5e8386173002aae8c3,04:30.4,EK31,DXB,LHR,21/9/2023 07:25,21/9/2023 15:10,EK31DXBLHR45190.309027777845190.6319444444,,
650c3f5e8386173002aae8c4,04:30.8,EK262,GRU,DXB,21/9/2023 04:25,21/9/2023 18:55,EK262GRUDXB45190.184027777845190.7881944444,,
650c3f5f8386173002aae8c5,04:31.3,EK201,DXB,JFK,21/9/2023 04:30,21/9/2023 18:25,EK201DXBJFK45190.187545190.7673611111,,
650c3f5f8386173002aae8c6,04:31.8,EK215,DXB,LAX,21/9/2023 04:55,21/9/2023 21:15,EK215DXBLAX45190.204861111145190.8854166667,,
650c3f608386173002aae8c7,04:32.3,QF1,SYD,SIN,21/9/2023 05:10,21/9/2023 13:30,QF1SYDSIN45190.215277777845190.5625,,
